,NAME,time,mean_monthly_temp,lot,lon
87,"LAR, IR",2000-05-01T00:00:00.000000000,27.1342671662768,27.67,54.38
88,"FARSI ISLAND, IR",2000-05-01T00:00:00.000000000,24.192438945766696,27.98,50.18
89,"BAFT, IR",2000-05-01T00:00:00.000000000,17.628977819441502,29.23,56.57
90,"GACHSARAN, IR",2000-05-01T00:00:00.000000000,25.436372172681672,30.34,50.83
91,"KHARG, IR",2000-05-01T00:00:00.000000000,26.414855323961262,29.27,50.27
92,"ASALOYEH, IR",2000-05-01T00:00:00.000000000,29.230062837695414,27.48,52.62
93,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-05-01T00:00:00.000000000,18.89499036979538,29.54,52.59
94,"PERSIAN GULF AIRPORT, IR",2000-05-01T00:00:00.000000000,-9999.99,27.37,52.73
95,"BANDAR ABBASS INTERNATIONAL, IR",2000-06-01T00:00:00.000000000,31.733758116568083,27.22,56.38
96,"ABADEH, IR",2000-06-01T00:00:00.000000000,21.46722679269385,31.18,52.67
97,"KERMAN, IR",2000-06-01T00:00:00.000000000,24.369773677097726,30.27,56.95
98,"RAFSANJAN, IR",2000-06-01T00:00:00.000000000,24.729550241928735,30.3,56.05
99,"LAMERD, IR",2000-06-01T00:00:00.000000000,31.882469268234217,27.37,53.19
100,"SIRJAN, IR",2000-06-01T00:00:00.000000000,25.437408604890322,29.47,55.72
101,"BUSHEHR, IR",2000-06-01T00:00:00.000000000,30.319643265072216,28.95,50.85
102,"YASOGE, IR",2000-06-01T00:00:00.000000000,20.90318073712683,30.67,51.58
103,"JAM, IR",2000-06-01T00:00:00.000000000,32.18971226305507,27.82,52.35
104,"BANDAR E DAYYER, IR",2000-06-01T00:00:00.000000000,31.55957566206922,27.83,51.93
105,"FASA, IR",2000-06-01T00:00:00.000000000,26.7505687658591,28.89,53.72
106,"LAR, IR",2000-06-01T00:00:00.000000000,31.30055692031874,27.67,54.38
107,"FARSI ISLAND, IR",2000-06-01T00:00:00.000000000,28.325972098336365,27.98,50.18
108,"BAFT, IR",2000-06-01T00:00:00.000000000,23.0207021808572,29.23,56.57
109,"GACHSARAN, IR",2000-06-01T00:00:00.000000000,29.475612670639634,30.34,50.83
110,"KHARG, IR",2000-06-01T00:00:00.000000000,30.437395862845165,29.27,50.27
111,"ASALOYEH, IR",2000-06-01T00:00:00.000000000,32.17263384928958,27.48,52.62
112,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-06-01T00:00:00.000000000,23.600618106588797,29.54,52.59
113,"PERSIAN GULF AIRPORT, IR",2000-06-01T00:00:00.000000000,-9999.99,27.37,52.73
114,"BANDAR ABBASS INTERNATIONAL, IR",2000-07-01T00:00:00.000000000,33.14354471064274,27.22,56.38
115,"ABADEH, IR",2000-07-01T00:00:00.000000000,23.610317000725445,31.18,52.67
116,"KERMAN, IR",2000-07-01T00:00:00.000000000,23.7722463873954,30.27,56.95
117,"RAFSANJAN, IR",2000-07-01T00:00:00.000000000,24.78859456333504,30.3,56.05
118,"LAMERD, IR",2000-07-01T00:00:00.000000000,31.98979848917776,27.37,53.19
119,"SIRJAN, IR",2000-07-01T00:00:00.000000000,26.05148374980422,29.47,55.72
120,"BUSHEHR, IR",2000-07-01T00:00:00.000000000,31.537899538554825,28.95,50.85
121,"YASOGE, IR",2000-07-01T00:00:00.000000000,23.718520751083076,30.67,51.58
122,"JAM, IR",2000-07-01T00:00:00.000000000,32.622514920368985,27.82,52.35
123,"BANDAR E DAYYER, IR",2000-07-01T00:00:00.000000000,32.10522872964469,27.83,51.93
124,"FASA, IR",2000-07-01T00:00:00.000000000,28.23875986491447,28.89,53.72
125,"LAR, IR",2000-07-01T00:00:00.000000000,31.864766427445034,27.67,54.38
126,"FARSI ISLAND, IR",2000-07-01T00:00:00.000000000,29.8118675370701,27.98,50.18
127,"BAFT, IR",2000-07-01T00:00:00.000000000,23.332899318945067,29.23,56.57
128,"GACHSARAN, IR",2000-07-01T00:00:00.000000000,31.767472661423483,30.34,50.83
129,"KHARG, IR",2000-07-01T00:00:00.000000000,31.442340970942098,29.27,50.27
130,"ASALOYEH, IR",2000-07-01T00:00:00.000000000,31.79891964376162,27.48,52.62
131,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-07-01T00:00:00.000000000,25.964020480524766,29.54,52.59
132,"PERSIAN GULF AIRPORT, IR",2000-07-01T00:00:00.000000000,-9999.99,27.37,52.73
133,"BANDAR ABBASS INTERNATIONAL, IR",2000-08-01T00:00:00.000000000,34.8870725940921,27.22,56.38
134,"ABADEH, IR",2000-08-01T00:00:00.000000000,24.15716512937354,31.18,52.67
135,"KERMAN, IR",2000-08-01T00:00:00.000000000,23.306057169422047,30.27,56.95
136,"RAFSANJAN, IR",2000-08-01T00:00:00.000000000,24.76374854230386,30.3,56.05
137,"LAMERD, IR",2000-08-01T00:00:00.000000000,34.459681802192904,27.37,53.19
138,"SIRJAN, IR",2000-08-01T00:00:00.000000000,26.052612804119804,29.47,55.72
139,"BUSHEHR, IR",2000-08-01T00:00:00.000000000,34.28768143588468,28.95,50.85
140,"YASOGE, IR",2000-08-01T00:00:00.000000000,25.157722087955563,30.67,51.58
141,"JAM, IR",2000-08-01T00:00:00.000000000,35.05660113559861,27.82,52.35
142,"BANDAR E DAYYER, IR",2000-08-01T00:00:00.000000000,34.87142697640604,27.83,51.93
143,"FASA, IR",2000-08-01T00:00:00.000000000,29.061269821587643,28.89,53.72
144,"LAR, IR",2000-08-01T00:00:00.000000000,33.375968501854175,27.67,54.38
145,"FARSI ISLAND, IR",2000-08-01T00:00:00.000000000,31.857599472835773,27.98,50.18
146,"BAFT, IR",2000-08-01T00:00:00.000000000,23.29145986829394,29.23,56.57
147,"GACHSARAN, IR",2000-08-01T00:00:00.000000000,34.32412834918654,30.34,50.83
148,"KHARG, IR",2000-08-01T00:00:00.000000000,33.40704936876085,29.27,50.27
